Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.57,113.14,149.9999,9.4309,150.0001,-3.70,100.00,356.59,2.69,0.15,359.15,340.48,151.0159,12.2778,150.3048,150.6484,12.4078,150.2881,340.57,357.88,356.59,151.5891,12.0754,150.3565,340.57,357.88,356.59,230.0000,8.6144,230.0000,-2.56,100.00,180.00,0.00,180.00,0.00,0.00
1.12,113.21,149.9999,9.4237,149.9999,0.01,100.00,7.21,-0.28,5.96,1.07,341.80,150.9860,12.2813,150.3024,150.6200,12.4027,150.3620,341.83,1.48,7.21,151.5616,12.0909,150.2347,341.83,1.48,7.21,230.0321,6.4021,230.0072,4.05,100.00,179.92,0.85,179.92,359.15,3.09
1.62,113.19,149.9999,9.4411,149.9998,0.03,100.00,18.89,-5.06,12.11,5.11,345.02,150.8970,12.3118,150.4291,150.5464,12.4061,150.5718,345.72,6.87,18.89,151.4537,12.1613,150.2301,345.72,6.87,18.89,230.0168,6.4080,229.9968,0.04,100.00,179.97,-0.13,179.97,0.13,1.60
2.18,113.19,149.9999,9.4232,149.9997,0.03,100.00,32.71,-7.21,19.96,5.59,341.39,151.1255,12.2333,150.2574,150.8271,12.3435,150.4833,343.09,9.65,32.71,151.6058,12.0567,149.9252,343.09,9.65,32.71,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
2.71,113.19,150.0000,9.4045,149.9997,0.04,100.00,43.95,-9.72,26.02,8.12,343.55,151.1051,12.2185,150.3004,150.8521,12.3029,150.5851,346.84,12.82,43.95,151.5181,12.0809,149.8730,346.84,12.82,43.95,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
3.21,113.19,149.9999,9.3961,149.9997,0.02,100.00,52.07,-11.40,31.26,10.07,343.92,151.1620,12.1881,150.2902,150.9507,12.2605,150.6100,348.51,15.11,52.07,151.5121,12.0682,149.8051,348.51,15.11,52.07,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
3.71,113.19,149.9999,9.3980,149.9996,0.00,100.00,56.01,-11.60,35.43,10.15,341.92,151.2610,12.1582,150.1455,151.0773,12.2423,150.4793,346.61,15.87,56.01,151.5687,12.0196,149.6373,346.61,15.87,56.01,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
4.25,113.19,149.9998,9.4013,149.9996,0.01,100.00,56.69,-11.12,38.71,11.19,342.53,151.2757,12.1553,150.1324,151.0957,12.2382,150.4685,346.80,16.02,56.69,151.5777,12.0187,149.6202,346.80,16.02,56.69,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
4.78,113.19,149.9998,9.4014,149.9995,0.00,100.00,55.19,-9.74,40.99,11.53,343.32,151.2622,12.1621,150.1213,151.0730,12.2465,150.4519,346.62,15.25,55.19,151.5784,12.0233,149.6183,346.62,15.25,55.19,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
5.31,113.19,149.9998,9.4189,149.9994,0.03,100.00,51.33,-8.05,41.28,11.45,343.52,151.2532,12.1838,150.1193,151.0430,12.2744,150.4352,345.75,14.15,51.33,151.6015,12.0358,149.6408,345.75,14.15,51.33,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
5.83,113.19,149.9996,9.4147,149.9994,0.01,100.00,48.93,-6.85,41.28,11.45,343.52,151.2531,12.1796,150.1193,151.0303,12.2742,150.4253,345.18,13.55,48.93,151.6202,12.0256,149.6571,345.18,13.55,48.93,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
6.35,113.19,149.9996,9.4142,149.9993,0.00,100.00,47.41,-5.86,41.28,11.45,343.52,151.2531,12.1791,150.1193,151.0226,12.2762,150.4187,344.83,13.15,47.41,151.6319,12.0213,149.6679,344.83,13.15,47.41,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
6.87,113.19,149.9996,9.4163,149.9993,0.00,100.00,46.42,-5.00,41.28,11.45,343.52,151.2530,12.1812,150.1193,151.0176,12.2799,150.4143,344.60,12.89,46.42,151.6394,12.0211,149.6751,344.60,12.89,46.42,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
7.38,113.19,149.9995,9.4229,149.9992,0.01,100.00,45.60,-4.19,41.28,11.45,343.52,151.2530,12.1878,150.1192,151.0135,12.2878,150.4105,344.42,12.67,45.60,151.6454,12.0258,149.6811,344.42,12.67,45.60,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
7.89,113.19,149.9993,9.4148,149.9991,0.02,100.00,44.80,-3.40,41.28,11.45,343.52,151.2528,12.1797,150.1190,151.0094,12.2809,150.4066,344.25,12.45,44.80,151.6511,12.0159,149.6869,344.25,12.45,44.80,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
8.43,113.19,149.9992,9.4144,149.9990,0.00,100.00,44.29,-2.68,41.28,11.45,343.52,151.2527,12.1793,150.1190,151.0068,12.2813,150.4042,344.14,12.31,44.29,151.6547,12.0143,149.6908,344.14,12.31,44.29,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
8.97,113.19,149.9991,9.4080,149.9990,0.01,100.00,44.55,-2.75,41.28,11.45,343.52,151.2525,12.1728,150.1189,151.0079,12.2745,150.4054,344.20,12.38,44.55,151.6527,12.0084,149.6888,344.20,12.38,44.55,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
