timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,move_ad_command,move_ad_weight,aim_aligned,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T15:50:01.426,moving_enemy,EnemyTank,0,142.84549096615856,,142.85,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,2.04,0.356,1.7,2.5919,1.096,4.8519,0.0,9.38,10.0,0.62,0.2403,R,0.055,7.03,0.0,0.0373,-0.0969,0.1342,Q,0.097,40.18,0.1567,5.837,True,D,0.157,False,True,False,False
2026-06-24T15:50:02.018,moving_enemy,EnemyTank,0,143.37968398730453,,143.38,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,1.44,0.3407,1.2,2.6018,1.096,4.2618,0.0,9.51,10.0,0.49,0.2405,R,0.055,6.62,-0.695,0.0337,-0.0931,0.1268,Q,0.093,37.96,0.148,5.515,True,D,0.148,False,True,False,False
2026-06-24T15:50:02.652,moving_enemy,EnemyTank,0,143.88319693966483,,143.88,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,0.72,0.2927,0.6,2.6113,1.096,3.5513,0.0,9.65,10.0,0.35,0.2406,R,0.055,5.56,-1.667,0.0261,-0.0908,0.1169,Q,0.091,35.01,0.1365,5.086,True,D,0.137,False,True,False,False
2026-06-24T15:50:03.189,moving_enemy,EnemyTank,0,144.33518232454193,,150.78,True,3,0.0,1.222,-0.0043,1.222,1.1822,-0.0036,1.1822,iterative_p_vt_half_at2,0.4032,0.336,0.1,2.7418,1.096,3.365,10.8054,9.79,10.0,0.21,0.2425,R,0.055,8.3,5.107,0.0542,-0.0657,0.1199,Q,0.066,35.91,0.14,5.217,True,D,0.14,False,True,False,False
2026-06-24T15:50:03.777,moving_enemy,EnemyTank,0,144.85200874801714,,151.4,True,4,0.0,1.3958,-0.0051,1.3958,1.1236,-0.0038,1.1236,iterative_p_vt_half_at2,0.3598,0.2999,0.0,2.7535,1.096,3.3334,10.8953,9.93,10.0,0.07,0.2427,STOP,0.0,7.29,-1.716,0.0352,-0.0758,0.111,Q,0.076,33.22,0.1296,4.827,True,D,0.13,False,True,False,False
2026-06-24T15:50:04.355,moving_enemy,EnemyTank,0,145.31618042404568,,151.25,True,5,0.0,1.4693,-0.0053,1.4693,0.9478,-0.0031,0.9478,iterative_p_vt_half_at2,0.2976,0.248,0.0,2.7507,1.096,3.2683,9.8641,10.0,10.0,0.0,0.2427,STOP,0.0,5.93,-2.354,0.0267,-0.0751,0.1018,Q,0.075,30.48,0.1189,4.428,True,D,0.119,False,True,False,False
2026-06-24T15:50:04.910,moving_enemy,EnemyTank,0,145.72053542638662,,150.18,True,6,0.0,1.3887,-0.005,1.3887,0.6082,-0.002,0.6082,iterative_p_vt_half_at2,0.2146,0.1789,0.0,2.7306,1.096,3.1652,7.4419,10.0,10.0,0.0,0.2424,STOP,0.0,4.19,-3.134,0.0159,-0.0748,0.0908,Q,0.075,27.18,0.106,3.949,True,D,0.106,False,True,False,False
2026-06-24T15:50:05.497,moving_enemy,EnemyTank,0,145.7295267625284,,146.56,True,7,0.0,0.903,0.005,0.903,-0.3118,0.0144,0.3122,iterative_p_vt_half_at2,0.0881,0.0734,0.0,2.6619,1.096,2.9701,1.3089,10.0,10.0,0.0,0.2413,STOP,0.0,1.37,-4.803,-0.0023,-0.0786,0.0763,Q,0.079,22.84,0.0891,3.318,True,D,0.089,False,True,False,False
2026-06-24T15:50:06.048,moving_enemy,EnemyTank,0,145.74129209522786,,144.57,True,9,0.0,0.3933,0.0009,0.3933,-0.7623,0.0043,0.7623,iterative_p_vt_half_at2,0.0398,0.0332,0.0,2.6244,1.096,2.8842,2.0366,10.0,10.0,0.0,0.2408,STOP,0.0,-0.62,-3.618,-0.0105,-0.0692,0.0587,Q,0.069,17.58,0.0685,2.554,True,D,0.069,False,True,False,False
2026-06-24T15:50:06.596,moving_enemy,EnemyTank,0,145.7428358865455,,144.36,True,10,0.0,0.2595,-0.0011,0.2595,-0.7505,0.0006,0.7505,iterative_p_vt_half_at2,0.0503,0.0419,0.0,2.6203,1.096,2.8906,2.3852,10.0,10.0,0.0,0.2407,STOP,0.0,-0.79,-0.309,-0.0048,-0.058,0.0532,Q,0.058,15.92,0.0621,2.312,True,D,0.062,False,True,False,False
