shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,observed_enemy_x_fire,observed_enemy_y_fire,observed_enemy_z_fire,enemy_velocity_x_fire,enemy_velocity_z_fire,enemy_speed_fire,predicted_control_time_fire,predicted_yaw_control_time_fire,predicted_pitch_control_time_fire,predicted_flight_time_fire,predicted_total_intercept_time_fire,lead_distance_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T17:48:15.369,2026-06-23T17:48:17.058,1.689,enemy,123.2352,8.123515,246.3815,149.9998779296875,7.993781566619873,149.99765014648438,123.60070492562336,8.598108291625977,244.52734865572478,100.0,moving_enemy,EnemyTank,0,98.49318902517052,,124.06690979003906,8.598108291625977,245.01548767089844,-0.2159,-0.2261,0.3126,0.0041,0.0034,0.0,1.5552,2.1593,0.675,98.15,-15.6,348.9,344.45,7.07,-4.5,-0.05,7.24,0.17,0.2152,98.1467,0.6043,15404704.9251,low_angle_solution,7.2393,7.2393,0.0,63.6175,1.948514780695512,-1.8842395973920958,-1.8541513442752091,1.8841320431304212,0.14668845278918363,-0.4745932916259772,98.1467,100.031,-1.8842,7.2393,798.9032,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
2,2026-06-23T17:48:36.908,2026-06-23T17:48:39.010,2.1018,terrain,168.2957,7.794672,268.0937,150.0,7.983197212219238,149.9936065673828,167.76451074853296,8.599997520446777,263.9412633833654,95.0,moving_enemy,EnemyTank,0,115.46088065159528,,167.71714782714844,8.599997520446777,264.0870666503906,0.019,-0.0586,0.0616,0.0053,0.0044,0.0,1.8838,2.4891,0.1533,115.32,8.86,3.97,8.8,8.91,4.89,0.06,8.88,-0.02,0.2306,115.3241,0.6168,13413329.9544,low_angle_solution,8.8826,8.8826,0.0,61.9615,4.263031910498057,-4.184755211519601,-4.1524366166345885,4.1847000812540465,-0.11479157632078119,-0.8053255204467771,115.3241,119.5088,-4.1848,8.8826,745.3871,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
3,2026-06-23T17:48:53.472,2026-06-23T17:48:55.554,2.0823,terrain,107.7134,7.810979,259.4715,150.00079345703125,7.976783752441406,149.99099731445312,110.21167986885305,8.59055233001709,256.31211643742694,95.0,moving_enemy,EnemyTank,0,113.30276125671524,,110.31509399414062,8.59055233001709,256.1162109375,-0.0413,0.0783,0.0886,0.0527,0.0439,0.0,1.8489,2.5015,0.2215,113.52,-20.52,343.19,338.85,8.69,-3.71,0.63,8.7,0.02,0.229,113.5225,0.6138,13601505.466,low_angle_solution,8.7044,8.7044,0.0,62.117,4.102540843848749,-3.8410732503457865,-3.159383562573055,3.83460200756873,-1.2324505029100115,-0.7795733300170902,113.5225,117.3636,-3.8411,8.7044,750.6116,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.006,STOP,0.0
4,2026-06-23T17:49:17.700,2026-06-23T17:49:19.823,2.1227,terrain,168.3203,7.824426,269.1625,150.00082397460938,7.97629451751709,149.98684692382812,168.04309322442012,8.595937728881836,264.9509726691535,95.0,moving_enemy,EnemyTank,0,116.37808301954166,,167.67347717285156,8.595937728881836,265.0152587890625,0.1466,-0.0255,0.1488,0.0177,0.0148,0.0,1.9042,2.522,0.3752,116.37,8.92,3.97,8.7,9.03,4.95,0.22,8.99,-0.04,0.2315,116.3713,0.6196,13304097.9937,low_angle_solution,8.9878,8.9878,0.0,61.8712,4.290575299735105,-4.204176247264556,-4.211527330846536,4.203580274862372,-0.3791027930294532,-0.7715117288818361,116.3713,120.5755,-4.2042,8.9878,742.3367,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
5,2026-06-23T17:49:33.679,2026-06-23T17:49:35.645,1.9657,enemy,109.6367,8.877094,256.5723,150.00083923339844,7.991142272949219,149.98513793945312,108.50160822498185,8.599992752075195,256.1864342968904,95.0,moving_enemy,EnemyTank,0,114.15266418690264,,109.78114318847656,8.599992752075195,256.8177490234375,-0.51,-0.2516,0.5687,0.0505,0.0421,0.0,1.8585,2.509,1.4268,114.02,-21.34,344.14,339.28,8.91,-5.48,-0.62,8.75,-0.16,0.2294,114.0215,0.6089,13549770.056,low_angle_solution,8.7506,8.7506,0.0,62.0739,1.2304920886180422,0.04743368777579349,-0.38586570310957313,-0.053726692935760934,1.1976807258265012,0.2771012479248043,114.0215,113.9741,0.0474,8.7506,749.1903,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
6,2026-06-23T17:49:58.379,2026-06-23T17:50:00.516,2.1367,terrain,167.9548,7.794594,269.2168,150.00140380859375,8.000581741333008,149.98170471191406,166.40709480374213,8.599992752075195,265.3099907987825,90.0,moving_enemy,EnemyTank,0,116.79717220195423,,166.84950256347656,8.599992752075195,265.55731201171875,-0.1738,-0.0972,0.1991,0.039,0.0325,0.0,1.9065,2.5455,0.5068,116.49,8.1,4.36,8.57,9.02,3.74,-0.47,8.99,-0.03,0.2316,116.4893,0.5994,13293338.8292,low_angle_solution,8.9893,8.9893,0.0,61.861,4.278693335480519,-4.089840047675423,-3.90680920121747,4.0858407199176545,0.9820667597999179,-0.8053987520751953,116.4893,120.5792,-4.0898,8.9893,742.0793,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
7,2026-06-23T17:50:14.980,2026-06-23T17:50:17.046,2.0657,terrain,106.9765,7.785043,261.4752,150.001708984375,7.987626075744629,149.97903442382812,108.50530137895656,8.600006103515625,257.1859746420676,90.0,moving_enemy,EnemyTank,0,114.94827462294276,,109.2406005859375,8.600006103515625,257.45758056640625,-0.2962,-0.1094,0.3157,0.0059,0.0049,0.0,1.8767,2.4826,0.7839,114.96,-21.16,343.54,338.91,8.9,-4.7,-0.07,8.84,-0.06,0.2303,114.9577,0.6124,13451842.779,low_angle_solution,8.8443,8.8443,0.0,61.9931,4.625889394216136,-4.551948898909927,-4.2892253579323665,4.551886053857931,0.1225609241283021,-0.8149631035156251,114.9577,119.5097,-4.5519,8.8443,746.4665,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
8,2026-06-23T17:50:38.891,2026-06-23T17:50:40.980,2.0889,enemy,167.1019,8.697419,265.9486,150.00234985351562,7.989406108856201,149.9761505126953,168.6804847932638,8.593320846557617,266.74910783510546,90.0,moving_enemy,EnemyTank,0,118.0244190395008,,167.66323852539062,8.593320846557617,266.6717224121094,0.3909,0.0297,0.392,0.0612,0.051,0.0,1.9412,2.6024,1.0202,118.26,9.09,3.82,8.34,9.13,5.26,0.75,9.17,0.04,0.2333,118.2573,0.6039,13109336.4046,low_angle_solution,9.1686,9.1686,0.0,61.7084,1.773014148036902,1.0310382859992302,0.8005078351054635,-1.0397891295303925,-1.4323342171781472,0.10409815344238282,118.2573,117.2263,1.031,9.1686,736.9085,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.001,STOP,0.0
9,2026-06-23T17:50:55.524,2026-06-23T17:50:57.594,2.0696,terrain,107.6879,7.772588,261.7407,150.0027313232422,7.989221572875977,149.9736328125,108.66038795447396,8.599970817565918,258.18844665245615,70.0,moving_enemy,EnemyTank,0,115.88089700678535,,109.56828308105469,8.599970817565918,258.57122802734375,-0.3623,-0.1527,0.3932,0.0122,0.0101,0.0,1.8939,2.5061,0.9853,115.84,-20.91,343.35,339.24,8.9,-4.26,-0.15,8.93,0.03,0.2311,115.8431,0.6107,13359727.3786,low_angle_solution,8.9309,8.9309,0.0,61.9167,3.7747581370912737,-3.665939082997866,-3.5522533475438536,3.6653990108960306,0.35928645626556477,-0.8273828175659181,115.8431,119.5091,-3.6659,8.9309,743.9065,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
10,2026-06-23T17:51:20.372,2026-06-23T17:51:22.472,2.1003,terrain,168.2715,7.785831,271.3199,150.00344848632812,7.99721622467041,149.97012329101562,166.71000950459552,8.599990844726562,267.28324534973314,70.0,moving_enemy,EnemyTank,0,118.81132760448045,,167.15737915039062,8.599990844726562,267.5365905761719,-0.1731,-0.098,0.199,0.038,0.0317,0.0,1.9459,2.5839,0.5141,118.5,8.1,3.82,8.57,9.24,4.28,-0.46,9.19,-0.05,0.2335,118.4967,0.6028,13084586.7633,low_angle_solution,9.1922,9.1922,0.0,61.6877,4.404053767329024,-4.220372097998975,-4.0366546502668825,4.216484680192602,0.9767754473065327,-0.8141598447265626,118.4967,122.7171,-4.2204,9.1922,736.2129,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
