shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,observed_enemy_x_fire,observed_enemy_y_fire,observed_enemy_z_fire,enemy_velocity_x_fire,enemy_velocity_z_fire,enemy_speed_fire,enemy_accel_x_fire,enemy_accel_z_fire,enemy_accel_fire,intercept_solver_fire,reversal_hold_remaining_fire,predicted_control_time_fire,predicted_yaw_control_time_fire,predicted_pitch_control_time_fire,predicted_flight_time_fire,flight_time_correction_factor_fire,predicted_total_intercept_time_fire,lead_distance_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-24T15:50:17.956,2026-06-24T15:50:20.057,2.1005,enemy,151.5783,8.506369,270.4545,150.00022888183594,7.969367504119873,149.9987335205078,154.1402871309299,8.599418640136719,271.3020619461827,100.0,moving_enemy,EnemyTank,0,120.70969858507006,,151.61036682128906,8.599418640136719,270.69769287109375,0.5483,0.1721,0.5747,0.3709,0.0557,0.375,iterative_p_vt_half_at2,0.0,0.0893,0.0744,0.0,2.1908,1.096,2.5,2.6011,121.37,1.95,1.19,0.7,9.36,0.76,1.26,9.46,0.1,0.2352,121.374,0.6301,12894898.3448,low_angle_solution,9.4621,9.4621,0.0,61.558,2.7001476898860286,0.9078544815520502,0.8475619461826795,-0.9344579625737008,-2.5315859906094222,-0.09304964013671935,121.374,120.4661,0.9079,9.4621,730.7923,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.007,STOP,0.0
,,2026-06-24T15:50:20.058,,enemy,151.5783,8.506369,270.4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-24T15:50:20.058,,enemy,151.5783,8.506369,270.4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-06-24T15:51:24.402,2026-06-24T15:51:26.545,2.1429,enemy,240.6895,8.655051,69.13449,149.99964904785156,7.999705791473389,149.99954223632812,245.02410424792888,8.599990844726562,69.397270612177,100.0,moving_enemy,EnemyTank,0,120.20796254428133,,239.34690856933594,8.599990844726562,69.58174896240234,1.5945,0.0037,1.5945,0.4878,-0.0592,0.4914,iterative_p_vt_half_at2,0.0,0.0882,0.0735,0.0,2.2506,1.096,2.5589,5.6802,124.6,130.31,123.97,131.81,9.54,6.34,-1.5,9.69,0.15,0.2359,124.6049,0.6003,12820629.122,low_angle_solution,9.6933,9.6933,0.0,61.558,4.3429113802837165,3.098466543807575,0.26278061217699644,-3.1356133777063797,3.0042929920112433,0.05506015527343777,124.6049,121.5064,3.0985,9.6933,728.7464,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.008,STOP,0.0
,,2026-06-24T15:51:26.547,,enemy,240.6895,8.655051,69.13449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-06-24T15:51:32.945,2026-06-24T15:51:35.215,2.2703,terrain,251.8844,7.758531,68.98921,149.9990692138672,7.997374534606934,149.999755859375,258.1875836996058,8.599990844726562,69.57314981281769,90.0,moving_enemy,EnemyTank,0,131.02691171235625,,253.4422607421875,8.599990844726562,69.57862854003906,1.6742,-0.0006,1.6742,0.0221,-0.001,0.0221,iterative_p_vt_half_at2,0.0,0.1224,0.102,0.0,2.4409,1.096,2.7832,4.7453,134.81,126.63,123.97,128.62,10.0,2.66,-2.0,10.0,0.0,0.2383,134.808,0.6026,12565736.1304,low_angle_solution,10.4776,10.4776,0.0,61.558,6.385856647800436,4.641444020448745,0.5839398128176896,-4.710164383896078,4.229120704430962,-0.8414598447265629,134.808,130.1665,4.6414,10.4776,721.4536,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.011,STOP,0.0
9,2026-06-24T15:51:47.773,2026-06-24T15:51:49.623,1.8496,enemy,219.4622,8.308292,70.68145,149.998291015625,7.971508026123047,149.9996337890625,215.55067727522186,8.59980297088623,69.66913433424604,90.0,moving_enemy,EnemyTank,0,109.81437865770906,,224.85015869140625,8.59980297088623,69.64793395996094,-3.8925,0.0092,3.8925,-0.4158,0.0007,0.4158,iterative_p_vt_half_at2,0.0,0.1022,0.0851,0.0,1.8215,1.096,2.1437,9.2995,103.68,140.78,134.24,139.04,7.73,6.54,1.74,7.79,0.06,0.2208,103.6827,0.6283,14635741.8751,low_angle_solution,7.7857,7.7857,0.0,62.9662,4.05089763876276,-1.7526199168530638,-1.0123156657539596,1.6887080246098418,-3.670566474156952,-0.2915109708862307,103.6827,105.4353,-1.7526,7.7857,778.6324,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.009,STOP,0.0
10,2026-06-24T15:52:07.215,2026-06-24T15:52:09.408,2.1926,terrain,240.878,7.754401,64.38893,149.99661254882812,7.9914116859436035,150.00001525878906,242.6231540684434,8.598523139953613,69.66523495523646,70.0,moving_enemy,EnemyTank,0,119.48227649111573,,238.44139099121094,8.598523139953613,69.6661148071289,1.6474,-0.0004,1.6474,-0.0212,0.0,0.0212,iterative_p_vt_half_at2,0.0,0.1476,0.123,0.0,2.2136,1.096,2.5812,4.1818,122.61,130.94,138.31,133.35,9.45,-7.37,-2.42,9.54,0.1,0.2354,122.6106,0.6071,12867567.9314,low_angle_solution,9.5448,9.5448,0.0,61.558,5.621165260906072,-2.2440784392094173,5.276304955236455,2.138667186362552,5.129430706153798,-0.8441221399536136,122.6106,124.8547,-2.2441,9.5448,730.0659,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.013,STOP,0.0
12,2026-06-24T15:52:15.740,2026-06-24T15:52:18.008,2.2687,terrain,250.6932,7.825164,69.21988,149.99569702148438,8.000179290771484,150.00021362304688,257.27942278731865,8.599827766418457,69.66030077943184,70.0,moving_enemy,EnemyTank,0,130.28285567596097,,252.56005859375,8.599827766418457,69.66233825683594,1.6798,-0.0006,1.6798,0.0205,-0.0001,0.0205,iterative_p_vt_half_at2,0.0,0.1165,0.0971,0.0,2.4263,1.096,2.7628,4.7194,134.03,126.83,134.73,128.8,9.92,-7.9,-1.97,10.0,0.08,0.2381,134.031,0.5996,12586059.947,low_angle_solution,10.4162,10.4162,0.0,61.558,6.646232392728422,4.936234011276639,0.44042077943183244,-5.007881241986957,4.3003984156478,-0.774663766418457,134.031,129.0947,4.9362,10.4162,722.0441,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.01,STOP,0.0
14,2026-06-24T15:52:36.876,2026-06-24T15:52:38.647,1.7713,enemy,214.3533,8.759513,69.31474,149.99424743652344,7.972812652587891,150.00076293945312,217.62279052860646,8.59962272644043,69.77885000573984,70.0,moving_enemy,EnemyTank,0,102.95534314659686,,214.4368133544922,8.59962272644043,69.70780944824219,0.5602,0.0148,0.5603,0.8334,0.0164,0.8336,iterative_p_vt_half_at2,0.0,0.1065,0.0888,0.0,1.847,1.096,2.1735,3.1868,104.92,139.87,137.84,141.45,7.75,2.02,-1.58,7.9,0.14,0.2218,104.9246,0.6268,14504340.1245,low_angle_solution,7.8983,7.8983,0.0,62.859,3.306135404615817,1.7145300890667698,0.4641100057398404,-1.7524875925136598,2.798884358483021,0.15989027355957042,104.9246,103.2101,1.7145,7.8983,775.1275,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.013,STOP,0.0
