shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T16:29:23.310,2026-06-23T16:29:25.417,2.1069,Rock002_120m_0deg,150.0201,9.283836,269.2653,150.0,7.994359970092773,149.99855041503906,150.0,9.502197265625,270.0,100.0,obstacle,Rock002_120m_0deg,0,120.0,0.0,120.0,0.0,-0.0,-0.0,9.63,0.0,0.0,9.79,0.15,0.2361,120.0014,1.5078,12861518.918,low_angle_solution,9.7882,9.7882,0.0,61.558,0.7667266411996623,0.734698306275618,0.7346999999999753,120.0014,119.2668,0.7347,9.7882,727.8929,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
2,2026-06-23T16:29:42.594,2026-06-23T16:29:44.596,2.0022,Rock002_116m_138deg,228.8562,9.662724,66.39981,149.998779296875,7.992053985595703,149.9982147216797,228.35687420903645,9.502197265625,64.46521021134592,100.0,obstacle,Rock002_116m_138deg,1,116.0,137.507764,116.0,137.51,128.57,136.55,9.41,8.93,0.96,9.4,-0.01,0.2324,115.9995,1.5101,13275830.8715,low_angle_solution,9.4011,9.4011,0.0,61.9032,2.0044379312492824,1.0769861438869697,-1.9345997886540829,115.9995,114.9225,1.077,9.4011,739.5492,0.0,0.0,0.0,STOP,0.0,D,0.035,Q,0.026,STOP,0.0
3,2026-06-23T16:30:02.338,2026-06-23T16:30:04.295,1.9573,Rock002_112m_275deg,38.63885,9.616879,158.8531,150.00035095214844,7.978488922119141,149.99774169921875,38.42884340603665,9.502197265625,159.79168097342375,100.0,obstacle,Rock002_112m_275deg,2,112.0,275.015528,112.0,-84.98,266.38,274.51,9.07,8.64,0.51,9.03,-0.04,0.2289,112.0005,1.5237,13691483.1578,low_angle_solution,9.0324,9.0324,0.0,62.2484,0.9686015245602292,0.2875161993469959,0.9385809734237398,112.0005,111.713,0.2875,9.0324,751.0352,0.0,0.0,0.0,STOP,0.0,D,0.034,Q,0.027,STOP,0.0
4,2026-06-23T16:30:22.331,2026-06-23T16:30:24.191,1.8595,Rock002_108m_53deg,234.879,9.762382,215.7785,150.00021362304688,7.980308532714844,149.99554443359375,235.708880967341,9.502197265625,215.71139721027222,100.0,obstacle,Rock002_108m_53deg,3,108.0,52.523292000000026,108.0,52.52,43.46,52.05,8.73,9.06,0.47,8.67,-0.06,0.2254,108.0025,1.5219,14110647.7,low_angle_solution,8.6678,8.6678,0.0,62.5934,0.8722965667397152,0.6162964487914735,-0.06710278972778383,108.0025,107.3862,0.6163,8.6678,762.4739,0.0,0.0,0.0,STOP,0.0,D,0.035,STOP,0.0,STOP,0.0
5,2026-06-23T16:30:42.500,2026-06-23T16:30:44.273,1.773,Rock002_104m_190deg,132.6674,9.904775,48.41795,149.99981689453125,7.972817420959473,149.99598693847656,131.8850775183011,9.502197265625,47.589797463914564,100.0,obstacle,Rock002_104m_190deg,4,104.0,190.03105600000004,104.0,-169.97,181.6,189.56,8.4,8.43,0.47,8.32,-0.08,0.2221,103.996,1.5294,14532506.0074,low_angle_solution,8.3194,8.3194,0.0,62.9391,1.2082772532042239,0.9498604049060049,-0.8281525360854332,103.996,103.0462,0.9499,8.3194,773.7888,0.0,0.0,0.0,STOP,0.0,D,0.033,STOP,0.0,STOP,0.0
6,2026-06-23T16:31:02.635,2026-06-23T16:31:04.358,1.7228,Rock002_100m_328deg,96.05975,9.686254,233.9931,150.002197265625,7.981563091278076,149.9938507080078,96.32719436893136,9.502197265625,234.37552924687066,100.0,obstacle,Rock002_100m_328deg,5,100.0,327.53882,100.01,-32.46,319.52,327.24,7.97,8.02,0.3,7.97,0.01,0.219,100.0064,1.5206,14956417.8069,low_angle_solution,7.975,7.975,0.0,63.2835,0.5016527691580537,0.1782079943076127,0.3824292468706574,100.0064,99.8282,0.1782,7.975,785.0342,0.0,0.0,0.0,STOP,0.0,D,0.031,STOP,0.0,STOP,0.0
7,2026-06-23T16:31:22.674,2026-06-23T16:31:24.280,1.606,Rock002_96m_105deg,242.3203,9.809019,125.695,150.00152587890625,7.990649700164795,149.99253845214844,242.70864727066476,9.502197265625,125.07798721524563,100.0,obstacle,Rock002_96m_105deg,6,96.0,105.04658400000005,96.0,105.04,96.23,104.59,7.65,8.81,0.45,7.56,-0.09,0.2132,95.9966,1.5115,15773505.6528,low_angle_solution,7.5596,7.5596,0.0,64.0044,0.7909854334107436,0.5338930906686841,-0.6170127847543654,95.9966,95.4627,0.5339,7.5596,806.265,0.0,0.0,0.0,STOP,0.0,D,0.034,STOP,0.0,STOP,0.0
8,2026-06-23T16:31:42.148,2026-06-23T16:31:43.709,1.5606,Rock002_92m_243deg,69.4384,9.953418,107.4907,150.0033721923828,7.987504005432129,149.99273681640625,68.3547447686605,9.502197265625,107.59655322725015,100.0,obstacle,Rock002_92m_243deg,7,92.0,242.55434800000012,92.0,-117.44,234.35,242.14,7.32,8.21,0.42,7.18,-0.15,0.2077,91.9996,1.5147,16609969.5057,low_angle_solution,7.1753,7.1753,0.0,64.7237,1.1786066847166037,0.9110188409181603,0.1058532272501509,91.9996,91.0886,0.911,7.1753,827.4029,0.0,0.0,0.0,STOP,0.0,D,0.032,STOP,0.0,STOP,0.0
9,2026-06-23T16:32:01.488,2026-06-23T16:32:02.980,1.4927,Rock002_88m_20deg,179.2951,9.757734,232.7991,150.00543212890625,7.98439884185791,149.9903106689453,180.18739893940676,9.502197265625,232.66027428742964,100.0,obstacle,Rock002_88m_20deg,8,88.0,20.06211200000007,88.01,20.06,11.11,19.39,6.9,8.95,0.67,6.81,-0.08,0.2026,88.0072,1.5178,17468336.8049,low_angle_solution,6.8135,6.8135,0.0,65.4421,0.9384929399586114,0.17113967045760603,-0.13882571257036602,88.0072,87.8361,0.1711,6.8135,848.5378,0.0,0.0,0.0,STOP,0.0,D,0.035,Q,0.027,STOP,0.0
10,2026-06-23T16:32:20.338,2026-06-23T16:32:21.773,1.4354,Rock002_84m_158deg,182.8936,9.740569,73.28406,150.00439453125,7.97335147857666,149.9901885986328,182.05073892217865,9.502197265625,72.35497353634076,100.0,obstacle,Rock002_84m_158deg,9,84.0,157.56987600000002,83.99,157.57,148.4,156.76,6.46,9.17,0.81,6.48,0.01,0.1976,83.9893,1.5288,18355165.8011,low_angle_solution,6.4764,6.4764,0.0,66.1651,1.2768858747789145,0.5295033296180094,-0.9290864636592318,83.9893,83.4598,0.5295,6.4764,869.8048,0.0,0.0,0.0,STOP,0.0,D,0.036,Q,0.027,STOP,0.0
