shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T16:47:26.482,2026-06-23T16:47:28.575,2.0937,Rock002_120m_0deg,150.0201,9.361204,269.254,150.0,7.973084449768066,149.99842834472656,150.0,9.502197265625,270.0,100.0,obstacle,Rock002_120m_0deg,0,120.0,0.0,120.0,0.0,-0.0,-0.0,9.67,0.0,0.0,9.8,0.13,0.2362,120.0016,1.5291,12859934.3109,low_angle_solution,9.7987,9.7987,0.0,61.558,0.7594729165359181,0.7459983061168742,0.7459999999999809,-0.7459999999999809,0.02010000000001355,-0.14099326562499925,120.0016,119.2556,0.746,9.7987,727.798,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
2,2026-06-23T16:47:45.773,2026-06-23T16:47:47.798,2.0249,Rock002_116m_138deg,228.853,9.692592,66.40579,149.9989013671875,7.986566543579102,149.99810791015625,228.35687420903645,9.502197265625,64.46521021134592,100.0,obstacle,Rock002_116m_138deg,1,116.0,137.507764,116.0,137.51,128.61,136.55,9.43,8.9,0.96,9.4,-0.03,0.2324,115.9993,1.5156,13275435.053,low_angle_solution,9.4039,9.4039,0.0,61.9033,2.012024073282834,1.0835321941146816,-1.9405797886540768,-1.095764800483276,-1.6766902572072657,0.19039473437499943,115.9993,114.9158,1.0835,9.4039,739.527,0.0,0.0,0.0,STOP,0.0,D,0.035,Q,0.026,STOP,0.0
3,2026-06-23T16:48:05.660,2026-06-23T16:48:07.644,1.9839,Rock002_112m_275deg,38.68295,9.851371,158.9152,150.0004425048828,7.970167636871338,149.99734497070312,38.42884340603665,9.502197265625,159.79168097342375,100.0,obstacle,Rock002_112m_275deg,2,112.0,275.015528,112.0,-84.98,266.23,274.47,9.2,8.79,0.55,9.04,-0.16,0.2289,112.0007,1.532,13690837.3789,low_angle_solution,9.0367,9.0367,0.0,62.2483,0.977093319313405,0.32653863972689123,0.8764809734237531,-0.32978041299240124,-0.8509018375089255,0.3491737343750003,112.0007,111.6741,0.3265,9.0367,750.996,0.0,0.0,0.0,STOP,0.0,D,0.034,Q,0.027,STOP,0.0
4,2026-06-23T16:48:25.685,2026-06-23T16:48:27.574,1.8886,Rock002_108m_53deg,234.9027,9.740726,215.7452,150.00006103515625,7.9690632820129395,149.99473571777344,235.708880967341,9.502197265625,215.71139721027222,100.0,obstacle,Rock002_108m_53deg,3,108.0,52.523292000000026,108.0,52.52,43.69,52.04,8.73,8.83,0.48,8.67,-0.06,0.2254,108.0032,1.5331,14109718.8246,low_angle_solution,8.6739,8.6739,0.0,62.5933,0.8414073554579725,0.6179524153655933,-0.03380278972778683,-0.6191986993002632,-0.5173619153755926,0.23852873437500044,108.0032,107.3852,0.618,8.6739,762.4208,0.0,0.0,0.0,STOP,0.0,D,0.034,STOP,0.0,STOP,0.0
5,2026-06-23T16:48:45.734,2026-06-23T16:48:47.549,1.815,Rock002_104m_190deg,131.3191,9.879629,48.65508,149.99977111816406,7.991535186767578,149.995361328125,131.8850775183011,9.502197265625,47.589797463914564,100.0,obstacle,Rock002_104m_190deg,4,104.0,190.03105600000004,104.0,-169.97,181.66,190.25,8.39,8.37,-0.22,8.31,-0.08,0.2221,103.9954,1.5107,14534026.7753,low_angle_solution,8.3088,8.3088,0.0,62.9392,1.2639668298749842,0.9477330432671636,-1.0652825360854337,-0.9504108518647687,0.7428840054601941,0.37743173437499955,103.9954,103.0477,0.9477,8.3088,773.8768,0.0,0.0,0.0,STOP,0.0,D,0.033,STOP,0.0,STOP,0.0
6,2026-06-23T16:49:05.924,2026-06-23T16:49:07.647,1.7229,Rock002_100m_328deg,97.13673,9.79256,234.6524,150.0014190673828,7.968602657318115,149.9935760498047,96.32719436893136,9.502197265625,234.37552924687066,100.0,obstacle,Rock002_100m_328deg,5,100.0,327.53882,100.01,-32.46,319.41,327.85,8.05,8.13,-0.31,7.98,-0.06,0.219,100.0062,1.5336,14955419.2359,low_angle_solution,7.9825,7.9825,0.0,63.2835,0.9035020029982448,0.19740563902406905,-0.2768707531293444,-0.20087060665047488,0.8316587949946683,0.29036273437499993,100.0062,99.8088,0.1974,7.9825,784.9754,0.0,0.0,0.0,STOP,0.0,D,0.032,STOP,0.0,STOP,0.0
7,2026-06-23T16:49:26.315,2026-06-23T16:49:27.953,1.6379,Rock002_96m_105deg,241.9592,9.726052,124.3231,150.00076293945312,7.991967678070068,149.99203491210938,242.70864727066476,9.502197265625,125.07798721524563,100.0,obstacle,Rock002_96m_105deg,6,96.0,105.04658400000005,96.0,105.04,97.31,105.49,7.59,7.73,-0.45,7.56,-0.04,0.2132,95.9972,1.5102,15773486.4081,low_angle_solution,7.5589,7.5589,0.0,64.0043,1.0870312145243308,0.523385895242555,0.7548872152456312,-0.527852656575036,0.9235244946371576,0.22385473437499925,95.9972,95.4738,0.5234,7.5589,806.2678,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
8,2026-06-23T16:49:46.096,2026-06-23T16:49:47.662,1.5668,Rock002_92m_243deg,68.75821,9.857859,108.7726,150.0022430419922,7.982539653778076,149.99258422851562,68.3547447686605,9.502197265625,107.59655322725015,100.0,obstacle,Rock002_92m_243deg,7,92.0,242.55434800000012,92.0,-117.44,234.65,242.94,7.25,7.91,-0.38,7.18,-0.08,0.2077,91.9986,1.5197,16609789.0249,low_angle_solution,7.1784,7.1784,0.0,64.7239,1.2931997037943506,0.89599334572857,-1.1760467727498423,-0.9000318112473193,0.8577953971303609,0.3556617343749995,91.9986,91.1026,0.896,7.1784,827.3851,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
9,2026-06-23T16:50:05.836,2026-06-23T16:50:07.341,1.505,Rock002_88m_20deg,179.649,9.77584,232.6682,150.00303649902344,7.992523193359375,149.98965454101562,180.18739893940676,9.502197265625,232.66027428742964,100.0,obstacle,Rock002_88m_20deg,8,88.0,20.06211200000007,88.01,20.06,11.95,19.67,6.91,8.1,0.39,6.81,-0.1,0.2026,88.0087,1.5097,17468706.0249,low_angle_solution,6.8082,6.8082,0.0,65.4418,0.6040004809189314,0.175738116159323,-0.007925712570369114,-0.1772098594025707,-0.5084613068903026,0.27364273437500053,88.0087,87.8329,0.1757,6.8082,848.5681,0.0,0.0,0.0,STOP,0.0,D,0.032,STOP,0.0,STOP,0.0
10,2026-06-23T16:50:25.417,2026-06-23T16:50:26.863,1.4456,Rock002_84m_158deg,182.3168,9.897108,73.05795,150.00245666503906,7.979434013366699,149.989990234375,182.05073892217865,9.502197265625,72.35497353634076,100.0,obstacle,Rock002_84m_158deg,9,84.0,157.56987600000002,83.99,157.57,149.39,157.15,6.57,8.17,0.42,6.47,-0.1,0.1976,83.9898,1.5228,18355563.7175,low_angle_solution,6.4723,6.4723,0.0,66.165,0.8490694280887223,0.5466822393269553,-0.7029764636592404,-0.5482663775351335,-0.5141676622025263,0.39491073437499935,83.9898,83.4431,0.5467,6.4723,869.8308,0.0,0.0,0.0,STOP,0.0,D,0.032,STOP,0.0,STOP,0.0
